state_name,year,detail,male,female,total
Assam,2009,Escapees from Police Custody,3,1,4
Assam,2009,Re-arrested escapees,2,0,2
Assam,2010,Escapees from Inside Prison,3,0,3
Assam,2010,Escapees from Outside Prison,5,0,5
Assam,2010,Escapees from Police Custody,4,1,5
Assam,2010,Re-arrested escapees,2,0,2
Assam,2011,Escapees from Inside Prison,5,0,5
Assam,2011,Escapees from Outside Prison,6,0,6
Assam,2011,Escapees from Police Custody,4,1,5
Assam,2011,Re-arrested escapees,5,0,5
Assam,2012,Escapees from Inside Prison,6,0,6
Assam,2012,Escapees from Outside Prison,5,0,5
Assam,2012,Escapees from Police Custody,3,1,4
Assam,2012,Re-arrested escapees,3,0,3
Bihar,2001,Escapees from Inside Prison,28,1,29
Bihar,2001,Escapees from Outside Prison,0,0,0
Bihar,2001,Escapees from Police Custody,1,0,1
Bihar,2001,Re-arrested escapees,0,0,0
Bihar,2002,Escapees from Inside Prison,39,0,39
Bihar,2002,Escapees from Outside Prison,34,0,34
Bihar,2002,Escapees from Police Custody,27,0,27
Bihar,2002,Re-arrested escapees,0,0,0
Bihar,2003,Escapees from Inside Prison,0,0,0
Bihar,2003,Escapees from Outside Prison,0,0,0
Bihar,2003,Escapees from Police Custody,1,0,1
Bihar,2003,Re-arrested escapees,0,0,0
Bihar,2004,Escapees from Inside Prison,43,0,43
Bihar,2004,Escapees from Outside Prison,1,0,1
Bihar,2004,Escapees from Police Custody,58,1,59
Bihar,2004,Re-arrested escapees,0,0,0
Bihar,2005,Escapees from Inside Prison,22,0,22
Bihar,2005,Escapees from Outside Prison,0,0,0
Bihar,2005,Escapees from Police Custody,69,0,69
Bihar,2005,Re-arrested escapees,7,0,7
Bihar,2006,Escapees from Inside Prison,19,0,19
Bihar,2006,Escapees from Outside Prison,0,0,0
Bihar,2006,Escapees from Police Custody,22,0,22
Bihar,2006,Re-arrested escapees,6,0,6
Bihar,2007,Escapees from Inside Prison,4,0,4
Bihar,2007,Escapees from Outside Prison,0,0,0
Bihar,2007,Escapees from Police Custody,36,0,36
Bihar,2007,Re-arrested escapees,2,0,2
Bihar,2008,Escapees from Inside Prison,24,0,24
Bihar,2008,Escapees from Outside Prison,0,0,0
Bihar,2008,Escapees from Police Custody,36,0,36
Bihar,2008,Re-arrested escapees,0,0,0
Bihar,2009,Escapees from Inside Prison,15,0,15
Bihar,2009,Escapees from Outside Prison,1,0,1
Bihar,2009,Escapees from Police Custody,40,0,40
Bihar,2009,Re-arrested escapees,1,0,1
Bihar,2010,Escapees from Inside Prison,0,0,0
Bihar,2010,Escapees from Outside Prison,2,0,2
Bihar,2010,Escapees from Police Custody,21,0,21
Bihar,2010,Re-arrested escapees,0,0,0
Bihar,2011,Escapees from Inside Prison,8,0,8
Bihar,2011,Escapees from Outside Prison,7,1,8
Bihar,2011,Escapees from Police Custody,4,1,5
Bihar,2011,Re-arrested escapees,4,0,4
Bihar,2012,Escapees from Inside Prison,0,0,0
Bihar,2012,Escapees from Outside Prison,9,4,13
Bihar,2012,Escapees from Police Custody,4,3,7
Bihar,2012,Re-arrested escapees,3,0,3
Chhattisgarh,2012,Escapees from Inside Prison,6,0,6
Chhattisgarh,2012,Escapees from Outside Prison,1,0,1
Chhattisgarh,2012,Escapees from Police Custody,20,0,20
Chhattisgarh,2012,Re-arrested escapees,16,0,16
Chhattisgarh,2001,Escapees from Inside Prison,0,0,0
Chhattisgarh,2001,Escapees from Outside Prison,6,0,6
Chhattisgarh,2001,Escapees from Police Custody,3,0,3
Chhattisgarh,2001,Re-arrested escapees,0,0,0
Chhattisgarh,2002,Escapees from Inside Prison,3,0,3
Chhattisgarh,2002,Escapees from Outside Prison,3,0,3
Chhattisgarh,2002,Escapees from Police Custody,25,0,25
Chhattisgarh,2002,Re-arrested escapees,1,0,1
Chhattisgarh,2003,Escapees from Inside Prison,0,0,0
Chhattisgarh,2003,Escapees from Outside Prison,1,0,1
Chhattisgarh,2003,Escapees from Police Custody,13,0,13
Chhattisgarh,2003,Re-arrested escapees,4,0,4
Chhattisgarh,2004,Escapees from Inside Prison,4,0,4
Chhattisgarh,2004,Escapees from Outside Prison,3,0,3
Chhattisgarh,2004,Escapees from Police Custody,8,0,8
Chhattisgarh,2004,Re-arrested escapees,0,0,0
Chhattisgarh,2005,Escapees from Inside Prison,0,0,0
Chhattisgarh,2005,Escapees from Outside Prison,5,0,5
Chhattisgarh,2005,Escapees from Police Custody,22,0,22
Chhattisgarh,2005,Re-arrested escapees,8,0,8
Chhattisgarh,2006,Escapees from Inside Prison,2,0,2
Chhattisgarh,2006,Escapees from Outside Prison,9,0,9
Chhattisgarh,2006,Escapees from Police Custody,9,0,9
Chhattisgarh,2006,Re-arrested escapees,0,0,0
Chhattisgarh,2007,Escapees from Inside Prison,319,0,319
Chhattisgarh,2007,Escapees from Outside Prison,11,0,11
Chhattisgarh,2007,Escapees from Police Custody,18,0,18
Chhattisgarh,2007,Re-arrested escapees,0,0,0
Chhattisgarh,2008,Escapees from Inside Prison,1,1,2
Chhattisgarh,2008,Escapees from Outside Prison,5,2,7
Chhattisgarh,2008,Escapees from Police Custody,9,0,9
Chhattisgarh,2008,Re-arrested escapees,3,1,4
Chhattisgarh,2009,Escapees from Inside Prison,0,0,0
Chhattisgarh,2009,Escapees from Outside Prison,7,1,8
Chhattisgarh,2009,Escapees from Police Custody,17,0,17
Chhattisgarh,2009,Re-arrested escapees,9,0,9
Chhattisgarh,2010,Escapees from Inside Prison,2,0,2
Chhattisgarh,2010,Escapees from Outside Prison,1,0,1
Chhattisgarh,2010,Escapees from Police Custody,14,0,14
Chhattisgarh,2010,Re-arrested escapees,5,0,5
Chhattisgarh,2011,Escapees from Inside Prison,2,0,2
Chhattisgarh,2011,Escapees from Outside Prison,3,0,3
Chhattisgarh,2011,Escapees from Police Custody,8,0,8
Chhattisgarh,2011,Re-arrested escapees,3,0,3
Goa,2001,Escapees from Inside Prison,2,0,2
Goa,2001,Escapees from Outside Prison,1,0,1
Goa,2001,Escapees from Police Custody,0,0,0
Goa,2001,Re-arrested escapees,0,0,0
Goa,2002,Escapees from Inside Prison,3,0,3
Goa,2002,Escapees from Outside Prison,3,0,3
Goa,2002,Escapees from Police Custody,0,0,0
Goa,2002,Re-arrested escapees,0,0,0
Goa,2003,Escapees from Inside Prison,1,0,1
Goa,2003,Escapees from Outside Prison,0,0,0
Goa,2003,Escapees from Police Custody,0,0,0
Goa,2003,Re-arrested escapees,0,0,0
Goa,2004,Escapees from Inside Prison,0,0,0
Goa,2004,Escapees from Outside Prison,0,0,0
Goa,2004,Escapees from Police Custody,0,0,0
Goa,2004,Re-arrested escapees,0,0,0
Goa,2005,Escapees from Inside Prison,4,0,4
Goa,2005,Escapees from Outside Prison,0,0,0
Goa,2005,Escapees from Police Custody,0,0,0
Goa,2005,Re-arrested escapees,1,0,1
Goa,2006,Escapees from Inside Prison,8,0,8
Goa,2006,Escapees from Outside Prison,0,0,0
Goa,2006,Escapees from Police Custody,1,0,1
