state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above,Total
Gujarat,1,2005,Male,"6 months less than 1 Yr.",0,13,33,8,54
Gujarat,1,2005,Male,"3 - 6 months",0,42,38,5,85
Gujarat,1,2005,Male,"Less than 3 months",0,80,28,5,113
Gujarat,1,2006,Male,"Capital Punishment",0,3,8,0,11
Gujarat,1,2006,Male,"Life Imprisonment",0,957,1525,238,2720
Gujarat,1,2006,Male,"10-13 Plus years",0,224,189,98,511
Gujarat,1,2006,Male,"7-9 Plus years",0,195,166,60,421
Gujarat,1,2006,Male,"5-6 Plus years",0,146,170,28,344
Gujarat,1,2006,Male,"2-4 Plus years",0,100,150,37,287
Gujarat,1,2006,Male,"1 Less than 2 years",0,63,49,23,135
Gujarat,1,2006,Male,"6 months less than 1 Yr.",0,46,67,13,126
Gujarat,1,2006,Male,"3 - 6 months",0,88,51,7,146
Gujarat,1,2006,Male,"Less than 3 months",0,109,54,4,167
Gujarat,1,2007,Male,"Capital Punishment",0,0,0,0,0
Gujarat,1,2007,Male,"Life Imprisonment",0,1423,963,243,2629
Gujarat,1,2007,Male,"10-13 Plus years",0,207,169,131,507
Gujarat,1,2007,Male,"7-9 Plus years",0,252,248,85,585
Gujarat,1,2007,Male,"5-6 Plus years",0,104,164,41,309
Gujarat,1,2007,Male,"2-4 Plus years",0,76,92,52,220
Gujarat,1,2007,Male,"1 Less than 2 years",0,111,78,16,205
Gujarat,1,2007,Male,"6 months less than 1 Yr.",0,88,77,3,168
Gujarat,1,2007,Male,"3 - 6 months",0,71,59,2,132
Gujarat,1,2007,Male,"Less than 3 months",0,62,54,5,121
Gujarat,1,2008,Male,"Capital Punishment",0,0,0,0,0
Gujarat,1,2008,Male,"Life Imprisonment",0,921,986,363,2270
Gujarat,1,2008,Male,"10-13 Plus years",0,285,373,69,727
Gujarat,1,2008,Male,"7-9 Plus years",0,133,289,56,478
Gujarat,1,2008,Male,"5-6 Plus years",0,234,228,46,508
Gujarat,1,2008,Male,"2-4 Plus years",0,79,119,15,213
Gujarat,1,2008,Male,"1 Less than 2 years",0,98,123,37,258
Gujarat,1,2008,Male,"6 months less than 1 Yr.",0,65,45,7,117
Gujarat,1,2008,Male,"3 - 6 months",0,29,32,5,66
Gujarat,1,2008,Male,"Less than 3 months",0,32,49,1,82
Gujarat,1,2009,Male,"Capital Punishment",0,6,0,1,7
Gujarat,1,2009,Male,"Life Imprisonment",0,788,797,113,1698
Gujarat,1,2009,Male,"10-13 Plus years",0,294,294,54,642
Gujarat,1,2009,Male,"7-9 Plus years",0,275,228,53,556
Gujarat,1,2009,Male,"5-6 Plus years",0,216,165,30,411
Gujarat,1,2009,Male,"2-4 Plus years",0,155,174,11,340
Gujarat,1,2009,Male,"1 Less than 2 years",0,98,112,12,222
Gujarat,1,2009,Male,"6 months less than 1 Yr.",0,35,69,13,117
Gujarat,1,2009,Male,"3 - 6 months",0,22,61,7,90
Gujarat,1,2009,Male,"Less than 3 months",0,19,54,40,113
Gujarat,1,2010,Male,"Capital Punishment",0,6,0,1,7
Gujarat,1,2010,Male,"Life Imprisonment",0,724,918,151,1793
